TimeStamp;Давление топливного газа перед дозаторами (поз. Pтг1.1);0 - Bad, 1 - Good
12:12:32.283;2859.562;1
12:12:32.305;2859.562;1
12:12:32.330;2859.562;1
12:12:32.353;2861.91;1
12:12:32.375;2861.169;1
12:12:32.397;2859.809;1
12:12:32.420;2861.91;1
12:12:32.443;2861.91;1
12:12:32.466;2861.91;1
12:12:32.489;2861.787;1
12:12:32.512;2859.686;1
12:12:32.535;2859.686;1
12:12:32.558;2862.281;1
12:12:32.581;2862.281;1
12:12:32.604;2862.281;1
12:12:32.627;2861.416;1
12:12:32.651;2861.416;1
12:12:32.673;2861.416;1
12:12:32.696;2861.416;1
12:12:32.721;2859.438;1
12:12:32.742;2859.438;1
12:12:32.766;2861.169;1
12:12:32.788;2862.034;1
12:12:32.812;2860.303;1
12:12:32.837;2860.303;1
12:12:32.860;2861.045;1
12:12:32.886;2861.045;1
12:12:32.904;2861.91;1
12:12:32.927;2860.18;1
12:12:32.951;2860.303;1
12:12:32.974;2861.91;1
12:12:32.996;2861.91;1
12:12:33.021;2861.91;1
12:12:33.042;2859.933;1
12:12:33.064;2861.416;1
12:12:33.088;2861.416;1
12:12:33.110;2860.798;1
12:12:33.134;2860.798;1
12:12:33.156;2860.798;1
12:12:33.181;2859.933;1
12:12:33.202;2861.416;1
12:12:33.226;2861.787;1
12:12:33.250;2860.18;1
12:12:33.272;2861.292;1
12:12:33.296;2861.292;1
12:12:33.317;2861.292;1
12:12:33.341;2861.539;1
12:12:33.364;2858.697;1
12:12:33.387;2860.921;1
12:12:33.412;2862.528;1
12:12:33.435;2862.528;1
12:12:33.457;2862.528;1
12:12:33.484;2859.686;1
12:12:33.502;2860.427;1
12:12:33.525;2861.539;1
12:12:33.549;2859.933;1
12:12:33.572;2859.933;1
12:12:33.593;2860.551;1
12:12:33.617;2860.551;1
12:12:33.640;2862.034;1
12:12:33.662;2860.551;1
12:12:33.687;2861.169;1
12:12:33.708;2861.169;1
12:12:33.732;2862.405;1
12:12:33.756;2861.169;1
12:12:33.778;2861.169;1
12:12:33.800;2860.056;1
12:12:33.825;2861.787;1
12:12:33.847;2860.798;1
12:12:33.870;2860.798;1
12:12:33.892;2859.315;1
