TimeStamp;Температура масла на входе в двигатель за фильтром (поз. Т607);0 - Bad, 1 - Good
12:12:51.717;23.316;1
12:12:51.742;23.316;1
12:12:51.764;23.316;1
12:12:51.789;23.316;1
12:12:51.810;23.316;1
12:12:51.833;23.316;1
12:12:51.855;23.316;1
12:12:51.881;23.316;1
12:12:51.903;23.316;1
12:12:51.926;23.316;1
12:12:51.949;23.316;1
12:12:51.971;23.316;1
12:12:51.995;23.316;1
12:12:52.017;23.27;1
12:12:52.039;23.27;1
12:12:52.062;23.27;1
12:12:52.086;23.27;1
12:12:52.108;23.27;1
12:12:52.131;23.27;1
12:12:52.154;23.27;1
12:12:52.177;23.27;1
12:12:52.200;23.27;1
12:12:52.224;23.27;1
12:12:52.247;23.27;1
12:12:52.270;23.27;1
12:12:52.292;23.27;1
12:12:52.315;23.247;1
12:12:52.338;23.247;1
12:12:52.363;23.247;1
12:12:52.384;23.247;1
12:12:52.407;23.247;1
12:12:52.430;23.247;1
12:12:52.455;23.247;1
12:12:52.476;23.247;1
12:12:52.499;23.247;1
12:12:52.522;23.247;1
12:12:52.545;23.247;1
12:12:52.568;23.247;1
12:12:52.591;23.247;1
12:12:52.614;23.247;1
12:12:52.637;23.293;1
12:12:52.660;23.293;1
12:12:52.683;23.293;1
12:12:52.706;23.293;1
12:12:52.729;23.293;1
12:12:52.752;23.293;1
12:12:52.775;23.293;1
12:12:52.799;23.293;1
12:12:52.821;23.293;1
12:12:52.844;23.293;1
12:12:52.867;23.293;1
12:12:52.891;23.293;1
12:12:52.915;23.293;1
12:12:52.936;23.293;1
12:12:52.960;23.293;1
12:12:52.984;23.177;1
12:12:53.006;23.177;1
12:12:53.030;23.177;1
12:12:53.052;23.177;1
12:12:53.076;23.177;1
12:12:53.098;23.177;1
12:12:53.120;23.177;1
12:12:53.143;23.177;1
12:12:53.166;23.177;1
12:12:53.189;23.177;1
12:12:53.212;23.177;1
12:12:53.235;23.177;1
12:12:53.258;23.316;1
12:12:53.282;23.316;1
12:12:53.304;23.316;1
12:12:53.328;23.316;1
12:12:53.351;23.316;1
12:12:53.373;23.316;1
12:12:53.398;23.316;1
12:12:53.421;23.316;1
12:12:53.444;23.316;1
12:12:53.465;23.316;1
12:12:53.490;23.316;1
12:12:53.514;23.316;1
12:12:53.537;23.316;1
12:12:53.558;23.316;1
12:12:53.583;23.316;1
12:12:53.605;23.247;1
12:12:53.628;23.247;1
