TimeStamp;Частота вращения РНД (Расчетная);0 - Bad, 1 - Good
12:12:25.475;7735.518;1
12:12:25.497;7735.387;1
12:12:25.520;7736.918;1
12:12:25.543;7736.975;1
12:12:25.567;7737.936;1
12:12:25.589;7737.936;1
12:12:25.612;7737.411;1
12:12:25.635;7737.463;1
12:12:25.658;7735.248;1
12:12:25.683;7736.487;1
12:12:25.704;7738.05;1
12:12:25.727;7738.05;1
12:12:25.753;7738.18;1
12:12:25.773;7738.31;1
12:12:25.798;7735.179;1
12:12:25.822;7738.02;1
12:12:25.843;7738.02;1
12:12:25.867;7738.854;1
12:12:25.890;7738.854;1
12:12:25.911;7738.248;1
12:12:25.937;7736.861;1
12:12:25.958;7736.902;1
12:12:25.986;7734.806;1
12:12:26.004;7735.968;1
12:12:26.028;7735.968;1
12:12:26.051;7737.39;1
12:12:26.073;7737.739;1
12:12:26.098;7735.092;1
12:12:26.119;7735.009;1
12:12:26.142;7738.138;1
12:12:26.164;7738.138;1
12:12:26.187;7739.806;1
12:12:26.213;7737.204;1
12:12:26.234;7738.948;1
12:12:26.259;7733.872;1
12:12:26.282;7736.888;1
12:12:26.302;7736.888;1
12:12:26.326;7738.923;1
12:12:26.349;7739.031;1
12:12:26.371;7739.561;1
12:12:26.396;7742.935;1
12:12:26.418;7740.076;1
12:12:26.441;7736.332;1
12:12:26.463;7738.57;1
12:12:26.487;7738.57;1
12:12:26.511;7740.953;1
12:12:26.535;7736.13;1
12:12:26.557;7735.735;1
12:12:26.581;7740.637;1
12:12:26.602;7743.854;1
12:12:26.625;7743.854;1
12:12:26.649;7741.483;1
12:12:26.672;7736.296;1
12:12:26.694;7740.319;1
12:12:26.716;7740.278;1
12:12:26.741;7743.126;1
12:12:26.762;7741.531;1
12:12:26.787;7741.531;1
12:12:26.808;7743.344;1
12:12:26.831;7742.872;1
12:12:26.857;7741.774;1
12:12:26.878;7742.778;1
12:12:26.900;7744.505;1
12:12:26.924;7744.505;1
12:12:26.946;7746.19;1
12:12:26.970;7745.612;1
12:12:26.994;7745.399;1
12:12:27.017;7743.049;1
12:12:27.039;7745.878;1
12:12:27.062;7744.213;1
12:12:27.085;7748.162;1
12:12:27.109;7748.162;1
12:12:27.132;7739.883;1
12:12:27.154;7746.18;1
12:12:27.178;7746.372;1
12:12:27.199;7746.372;1
12:12:27.222;7744.38;1
12:12:27.246;7742.668;1
12:12:27.270;7743.278;1
12:12:27.293;7746.138;1
12:12:27.315;7746.128;1
12:12:27.339;7748.881;1
12:12:27.360;7740.097;1
12:12:27.387;7740.392;1
12:12:27.408;7740.392;1
12:12:27.432;7749.897;1
12:12:27.454;7748.72;1
12:12:27.479;7745.404;1
12:12:27.499;7738.476;1
12:12:27.522;7738.476;1
12:12:27.546;7747.059;1
12:12:27.570;7747.059;1
12:12:27.593;7745.082;1
12:12:27.617;7747.512;1
12:12:27.638;7746.835;1
12:12:27.660;7744.78;1
12:12:27.686;7744.234;1
12:12:27.706;7745.175;1
12:12:27.730;7745.175;1
12:12:27.753;7741.042;1
12:12:27.775;7744.197;1
12:12:27.799;7746.809;1
12:12:27.822;7747.169;1
12:12:27.845;7747.169;1
12:12:27.868;7747.402;1
12:12:27.890;7738.034;1
12:12:27.914;7742.627;1
12:12:27.936;7743.184;1
12:12:27.962;7745.352;1
12:12:27.984;7744.827;1
12:12:28.006;7741.255;1
12:12:28.028;7741.255;1
12:12:28.054;7744.946;1
12:12:28.076;7740.014;1
12:12:28.099;7743.167;1
12:12:28.122;7741.999;1
12:12:28.144;7742.908;1
12:12:28.166;7743.6;1
12:12:28.190;7743.6;1
12:12:28.212;7742.835;1
12:12:28.237;7745.466;1
12:12:28.260;7743.943;1
12:12:28.284;7744.301;1
12:12:28.305;7739.931;1
12:12:28.328;7742.409;1
12:12:28.351;7742.409;1
12:12:28.373;7740.138;1
12:12:28.396;7741.136;1
12:12:28.419;7740.901;1
12:12:28.441;7740.901;1
12:12:28.465;7738.892;1
12:12:28.489;7738.892;1
12:12:28.510;7741.795;1
12:12:28.536;7744.546;1
12:12:28.557;7740.704;1
12:12:28.582;7744.567;1
12:12:28.603;7736.628;1
12:12:28.625;7736.628;1
12:12:28.650;7743.625;1
12:12:28.673;7740.305;1
12:12:28.694;7737.905;1
12:12:28.717;7738.611;1
12:12:28.740;7740.153;1
12:12:28.763;7736.923;1
12:12:28.786;7736.923;1
12:12:28.809;7738.377;1
12:12:28.835;7738.377;1
12:12:28.857;7743.043;1
12:12:28.881;7741.229;1
12:12:28.903;7736.809;1
12:12:28.924;7739.058;1
12:12:28.948;7739.058;1
12:12:28.971;7741.535;1
12:12:28.993;7741.864;1
12:12:29.016;7734.847;1
12:12:29.039;7739.353;1
12:12:29.062;7743.527;1
12:12:29.086;7740.351;1
12:12:29.109;7740.351;1
12:12:29.131;7734.729;1
12:12:29.154;7735.88;1
12:12:29.178;7738.969;1
12:12:29.201;7740.392;1
12:12:29.224;7742.481;1
12:12:29.248;7742.481;1
12:12:29.269;7736.259;1
