TimeStamp;Положение КПВ (поз. A3);0 - Bad, 1 - Good
12:10:08.233;8.218;1
12:10:08.257;8.311;0
12:10:08.281;8.311;1
12:10:08.304;8.311;1
12:10:08.325;8.325;1
12:10:08.349;8.252;1
12:10:08.372;8.26;1
12:10:08.395;8.207;1
12:10:08.417;8.207;1
12:10:08.440;8.207;1
12:10:08.464;8.277;1
12:10:08.489;8.26;1
12:10:08.513;8.317;1
12:10:08.533;8.308;1
12:10:08.555;8.308;1
12:10:08.580;8.347;1
12:10:08.601;8.347;1
12:10:08.625;8.328;1
12:10:08.647;8.302;1
12:10:08.670;8.294;1
12:10:08.693;8.294;1
12:10:08.719;8.17;0
12:10:08.739;8.17;1
12:10:08.764;8.302;0
12:10:08.790;8.302;1
12:10:08.808;8.229;1
12:10:08.831;8.26;1
12:10:08.856;8.26;1
12:10:08.878;8.26;1
12:10:08.900;8.356;0
12:10:08.924;8.286;1
12:10:08.949;8.286;1
12:10:08.970;8.305;1
12:10:08.993;8.305;1
12:10:09.017;8.325;1
12:10:09.040;8.283;1
12:10:09.062;8.28;1
12:10:09.088;8.356;1
12:10:09.109;8.356;1
12:10:09.131;8.356;1
12:10:09.155;8.26;0
12:10:09.178;8.184;1
12:10:09.199;8.328;0
12:10:09.225;8.39;1
12:10:09.246;8.39;1
12:10:09.271;8.294;0
12:10:09.293;8.294;1
12:10:09.317;8.241;1
12:10:09.340;8.339;0
12:10:09.362;8.381;1
12:10:09.386;8.381;1
12:10:09.409;8.274;0
12:10:09.431;8.274;1
12:10:09.455;8.227;1
12:10:09.476;8.407;0
12:10:09.502;8.243;0
12:10:09.522;8.243;1
12:10:09.547;8.308;1
12:10:09.571;8.308;1
12:10:09.592;8.252;1
12:10:09.614;8.294;1
12:10:09.637;8.232;1
12:10:09.663;8.232;1
12:10:09.687;8.288;1
12:10:09.707;8.308;1
12:10:09.731;8.308;1
12:10:09.753;8.331;1
12:10:09.778;8.215;0
12:10:09.800;8.215;1
12:10:09.824;8.342;0
12:10:09.846;8.336;1
12:10:09.868;8.274;1
12:10:09.890;8.364;0
12:10:09.913;8.364;1
12:10:09.937;8.333;1
12:10:09.960;8.333;1
12:10:09.984;8.342;1
12:10:10.008;8.342;1
12:10:10.031;8.269;1
12:10:10.051;8.269;1
12:10:10.074;8.331;1
12:10:10.098;8.331;1
12:10:10.123;8.274;1
12:10:10.145;8.198;1
12:10:10.167;8.196;1
12:10:10.189;8.353;0
12:10:10.212;8.353;1
12:10:10.235;8.353;1
12:10:10.260;8.395;1
12:10:10.283;8.347;1
12:10:10.303;8.232;0
12:10:10.326;8.201;1
12:10:10.349;8.201;1
12:10:10.372;8.201;1
12:10:10.395;8.238;1
12:10:10.418;8.243;1
12:10:10.441;8.243;1
12:10:10.464;8.243;1
12:10:10.487;8.243;1
12:10:10.510;8.325;1
12:10:10.533;8.255;1
12:10:10.556;8.255;1
12:10:10.580;8.294;1
12:10:10.602;8.353;1
12:10:10.628;8.353;1
12:10:10.650;8.263;0
12:10:10.671;8.336;1
12:10:10.695;8.336;1
12:10:10.719;8.291;1
12:10:10.740;8.39;0
12:10:10.763;8.39;1
12:10:10.786;8.39;1
12:10:10.810;8.274;0
12:10:10.833;8.291;1
12:10:10.855;8.322;1
12:10:10.880;8.322;1
12:10:10.901;8.272;1
12:10:10.924;8.272;1
12:10:10.947;8.26;1
12:10:10.972;8.277;1
12:10:10.994;8.277;1
12:10:11.017;8.35;1
12:10:11.039;8.26;0
12:10:11.065;8.26;1
12:10:11.088;8.291;1
12:10:11.110;8.322;1
12:10:11.131;8.322;1
12:10:11.155;8.305;1
12:10:11.179;8.294;1
12:10:11.200;8.294;1
12:10:11.226;8.339;1
12:10:11.248;8.339;1
12:10:11.270;8.364;1
12:10:11.294;8.35;1
12:10:11.317;8.277;1
12:10:11.338;8.277;1
12:10:11.361;8.322;1
12:10:11.385;8.404;1
12:10:11.407;8.378;1
12:10:11.430;8.322;1
12:10:11.453;8.322;1
12:10:11.477;8.322;1
12:10:11.499;8.35;1
12:10:11.523;8.364;1
12:10:11.545;8.243;0
12:10:11.569;8.322;1
12:10:11.592;8.322;1
12:10:11.614;8.322;1
12:10:11.640;8.384;1
12:10:11.662;8.415;1
12:10:11.684;8.353;1
12:10:11.706;8.336;1
12:10:11.729;8.426;0
12:10:11.753;8.426;1
12:10:11.775;8.426;1
12:10:11.798;8.35;1
12:10:11.822;8.339;1
12:10:11.844;8.359;1
12:10:11.869;8.364;1
12:10:11.891;8.364;1
12:10:11.914;8.364;1
12:10:11.937;8.294;1
12:10:11.959;8.277;1
12:10:11.987;8.364;1
12:10:12.007;8.364;1
12:10:12.030;8.362;1
12:10:12.052;8.362;1
12:10:12.074;8.274;1
12:10:12.097;8.274;1
12:10:12.120;8.305;1
12:10:12.143;8.356;1
12:10:12.169;8.356;1
12:10:12.189;8.336;1
12:10:12.212;8.373;1
12:10:12.235;8.373;1
12:10:12.258;8.302;1
12:10:12.284;8.322;1
12:10:12.306;8.322;1
12:10:12.329;8.272;1
12:10:12.351;8.272;1
12:10:12.375;8.376;0
12:10:12.398;8.308;1
12:10:12.422;8.272;1
12:10:12.444;8.272;1
12:10:12.466;8.319;1
12:10:12.488;8.364;1
12:10:12.511;8.35;1
12:10:12.535;8.35;1
12:10:12.558;8.336;1
12:10:12.583;8.336;1
12:10:12.604;8.272;1
12:10:12.628;8.272;1
12:10:12.650;8.243;1
12:10:12.674;8.257;1
12:10:12.695;8.362;0
12:10:12.719;8.362;1
12:10:12.741;8.381;1
12:10:12.767;8.463;1
12:10:12.789;8.308;0
12:10:12.810;8.308;1
12:10:12.834;8.319;1
12:10:12.858;8.28;1
12:10:12.884;8.28;1
12:10:12.905;8.28;1
12:10:12.925;8.367;1
12:10:12.948;8.367;1
12:10:12.971;8.37;1
12:10:12.996;8.305;1
12:10:13.020;8.305;1
12:10:13.041;8.353;1
12:10:13.065;8.381;1
12:10:13.086;8.345;1
12:10:13.112;8.345;1
12:10:13.134;8.288;1
12:10:13.156;8.288;1
12:10:13.180;8.342;1
12:10:13.202;8.378;1
12:10:13.226;8.305;1
12:10:13.249;8.305;1
12:10:13.272;8.286;1
12:10:13.295;8.286;1
12:10:13.317;8.367;1
12:10:13.339;8.314;1
12:10:13.362;8.325;1
12:10:13.386;8.243;1
12:10:13.409;8.243;1
12:10:13.431;8.243;1
12:10:13.455;8.302;1
12:10:13.479;8.384;1
12:10:13.502;8.339;1
12:10:13.525;8.415;1
12:10:13.547;8.415;1
12:10:13.569;8.415;1
12:10:13.594;8.384;1
12:10:13.617;8.336;1
12:10:13.641;8.328;1
12:10:13.661;8.35;1
12:10:13.686;8.35;1
12:10:13.707;8.314;1
12:10:13.730;8.314;1
12:10:13.754;8.336;1
12:10:13.777;8.325;1
12:10:13.799;8.466;0
12:10:13.824;8.466;1
12:10:13.845;8.466;1
12:10:13.869;8.457;1
12:10:13.893;8.373;1
12:10:13.914;8.257;0
12:10:13.938;8.336;1
12:10:13.961;8.319;1
12:10:13.984;8.319;1
12:10:14.009;8.37;1
12:10:14.031;8.37;1
12:10:14.053;8.392;1
